wanr,waid,classid,sdauftragsnr,sdpositionsnr,sdmaterialnr,kcauftragsnr,kcposnr,pspelement,posnr,dnvl,Rohrlaenge,rohrquali,Rohranfang,Rohrende,strdeleid,Rohrdurchmesser,AnzahlRohre,beschbez,Nippel,Bohrung,Muffe
83003,578891,VerteilerData,870357,20,400010,4200306933,20,1030220000,3S13,50,1370,"DINEN10255-Fe -glatt Gewinderohr",Scheibe,Nut,NULL,50,3,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,3
83010,578966,VerteilerData,870335,20,400010,4200306927,20,0000000000,1,100,7500,"DINEN10217-1-Fe -glatt",Nut,Nut,"Stan. Muffe",100,9,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,9
83010,578967,VerteilerData,870335,20,400010,4200306927,20,0000000000,2,100,8500,"DINEN10217-1-Fe -glatt",Nut,Nut,"Stan. Muffe",100,2,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
83014,578977,VerteilerData,870733,30,400010,4200307226,30,0000000000,1,100,500,"DINEN10217-1-Fe -glatt",Flachflansch,Flachflansch,NULL,100,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
83015,578978,VerteilerData,870758,10,400010,4200307281,10,0000000000,2,150,400,"DINEN10217-1-Fe -glatt",Flachflansch,Flachflansch,NULL,150,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
83021,578993,VerteilerData,870900,10,400010,4200307378,10,0000000000,1,150,650,"DINEN10217-1-Fe -glatt",Flachflansch,Flachflansch,NULL,150,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,3
83025,579011,VerteilerData,870864,50,400011,4200307392,50,1028270000,4.08,150,3040,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,150,1,verzinkt,0,0,1
83025,579012,VerteilerData,870864,50,400011,4200307392,50,1028270000,4.09,150,3390,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,150,1,verzinkt,0,0,1
83025,579013,VerteilerData,870864,50,400011,4200307392,50,1028270000,4.10,150,3740,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,150,1,verzinkt,0,0,1
83025,579014,VerteilerData,870864,50,400011,4200307392,50,1028270000,4.11,150,4090,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,150,1,verzinkt,0,0,1
83025,579015,VerteilerData,870864,50,400011,4200307392,50,1028270000,4.12,150,4440,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,150,1,verzinkt,0,0,1
83027,579048,VerteilerData,870864,70,400011,4200307392,70,1028270000,4.70,100,398,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,verzinkt,0,0,1
83027,579049,VerteilerData,870864,70,400011,4200307392,70,1028270000,4.71,100,698,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,verzinkt,0,0,1
83027,579040,VerteilerData,870864,70,400011,4200307392,70,1028270000,4.40,100,795,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,verzinkt,0,0,1
83027,579050,VerteilerData,870864,70,400011,4200307392,70,1028270000,4.72,100,998,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,verzinkt,0,0,1
83027,579041,VerteilerData,870864,70,400011,4200307392,70,1028270000,4.41,100,1095,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,verzinkt,0,0,1
83027,579051,VerteilerData,870864,70,400011,4200307392,70,1028270000,4.73,100,1298,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,verzinkt,0,0,1
83027,579042,VerteilerData,870864,70,400011,4200307392,70,1028270000,4.42,100,1395,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,verzinkt,0,0,1
83027,579052,VerteilerData,870864,70,400011,4200307392,70,1028270000,4.74,100,1598,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,verzinkt,0,0,1
83027,579043,VerteilerData,870864,70,400011,4200307392,70,1028270000,4.43,100,1695,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,verzinkt,0,0,1
83027,579039,VerteilerData,870864,70,400011,4200307392,70,1028270000,4.32,100,1720,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,100,1,verzinkt,0,0,3
83027,579053,VerteilerData,870864,70,400011,4200307392,70,1028270000,4.75,100,1898,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,verzinkt,0,0,1
83027,579044,VerteilerData,870864,70,400011,4200307392,70,1028270000,4.44,100,1995,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,verzinkt,0,0,1
83027,579054,VerteilerData,870864,70,400011,4200307392,70,1028270000,4.76,100,2198,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,verzinkt,0,0,1
83027,579045,VerteilerData,870864,70,400011,4200307392,70,1028270000,4.45,100,2295,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,verzinkt,0,0,1
83027,579046,VerteilerData,870864,70,400011,4200307392,70,1028270000,4.46,100,2595,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,verzinkt,0,0,1
83027,579047,VerteilerData,870864,70,400011,4200307392,70,1028270000,4.47,100,2895,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,100,1,verzinkt,0,0,1
83044,579217,VerteilerData,871086,20,400011,4200307525,20,1028270000,4.42,100,2100,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,100,1,verzinkt,0,0,4
